109638 10000530|Fourier分析
240000 24017820|矿山事故案例分析
660003 33000240|中级汉语
330001 33000340|高级汉语
378201 AEME10010|新生研讨课
000486 AEME11716|计算机高级语言程序设计
000278 AEME20110|工程热力学
378206 AEME21111|理论力学（Ⅱ）
378207 AEME21112|理论力学（Ⅲ ）
378208 AEME21210|材料力学（I）
000126 AEME21214|材料力学简介
378211 AEME21410|工程力学
378214 AEME30230|计算力学
378215 AEME30240|复合材料力学
378216 AEME30250|结构优化设计
000461 AEME30321|流体力学
378222 AEME30510|数理方程
000459 AEME30512|变分原理基础
000456 AEME30831|传热学
000455 AEME30840|导航与制导
378228 AEME31410|振动力学
378229 AEME31610|计算机辅助设计基础
000462 AEME31820|空气动力学
000458 AEME31830|航空航天复合材料
000457 AEME31840|飞行器结构力学
378234 AEME35600|计算机辅助设计
378235 AEME40210|塑性力学
378237 AEME40230|有限元建模方法及结构分析软件
378238 AEME40240|板壳理论
378241 AEME40710|计算机测控应用基础
378242 AEME40810|飞行动力学与控制
378243 AEME40820|飞行器结构学
378245 AEME45200|结构分析软件应用
378246 AEME45700|计算机测控应用设计
058204 ANM20331|动态图形创意
058205 ANM21221|3D数字动画技术-1
059651 ANM21223|3D数字动画技术-3
058208 ANM21310|动画运动规律及时间掌握
058209 ANM21320|动画表演
058213 ANM31010|民族文化与动画创意
058216 ANM31230|音频设计
058217 ANM31245|视频编辑
058218 ANM31250|影视特效基础
058220 ANM31425|角色设计
058221 ANM31430|场景设计
058223 ANM40901|数字艺术研究
058225 ANM41440|动漫插画创作
058226 ANM41450|游戏美术设计
058227 ANM41510|界面设计
058228 ANM41520|新媒体与交互动画创作
058229 ANM41540|动漫衍生品设计
058230 ANM43010|专业实习
198201 ARCH10010|新生研讨课
190000 ARCH10120|人居环境概论（1）
198202 ARCH11110|建筑设计基础（1）
198003 ARCH11130|模型制作基础
198203 ARCH20130|建筑设计理论与方法（1）
198205 ARCH20210|中国古典建筑史
198208 ARCH20320|建筑技术概论
198209 ARCH20380|房屋建筑学(Ⅰ)
198210 ARCH20390|房屋建筑学(Ⅰ)
198211 ARCH21110|建筑设计（1）（含快题）
198212 ARCH21120|建筑设计（2）
198216 ARCH25391|房屋建筑学（Ⅱ）
198217 ARCH25392|房屋建筑学（Ⅱ）
198219 ARCH30120|建筑心理学
198220 ARCH30130|专业外语
198221 ARCH30131|专业外语
198223 ARCH30210|中外近现代建筑史
198224 ARCH30220|中外古典建筑史
198226 ARCH30310|建筑减灾防灾
198230 ARCH31110|建筑设计（5）（含快题）
198233 ARCH31310|建筑物理（1） （声学）
198234 ARCH31320|建筑物理（2） （光学）
198235 ARCH31330|建筑物理（3） （热工）
198238 ARCH31360|城市环境物理
198239 ARCH31420|建筑设计（6）
198240 ARCH40120|建筑策划概论
198241 ARCH40130|绿色建筑概论
198242 ARCH40230|建筑文化遗产保护
198243 ARCH40310|建筑构造（2）
198245 ARCH40510|建筑设计理论与方法（2）
198246 ARCH40520|室内设计原理
198247 ARCH41110|建筑设计（9）
198248 ARCH41120|建筑设计（10）
